id_cliente,nome,email
1,Ana Silva,ana.silva@email.com
2,Bruno Costa,bruno.costa@email.com
3,Carla Oliveira,carla.oliveira@email.com
4,Daniel Pereira,daniel.pereira@email.com
5,Eva Souza,eva.souza@email.com
6,Fabio Almeida,fabio.almeida@email.com
7,Gabriela Lima,gabriela.lima@email.com
8,Hugo Santos,hugo.santos@email.com
9,Isabela Rocha,isabela.rocha@email.com
10,Joao Mendes,joao.mendes@email.com
11,Juliana Pires,juliana.pires@email.com
12,Lucas Fernandes,lucas.fernandes@email.com
13,Mariana Gomes,mariana.gomes@email.com
14,Nicolas Ribeiro,nicolas.ribeiro@email.com
15,Olivia Martins,olivia.martins@email.com
16,Pedro Rodrigues,pedro.rodrigues@email.com
17,Quiteria Barbosa,quiteria.barbosa@email.com
18,Rafael Azevedo,rafael.azevedo@email.com
19,Sofia Carvalho,sofia.carvalho@email.com
20,Tiago Ferreira,tiago.ferreira@email.com
21,Ursula Dias,ursula.dias@email.com
22,Vinicius Nunes,vinicius.nunes@email.com
23,Wanessa Lopes,wanessa.lopes@email.com
24,Xavier Cruz,xavier.cruz@email.com
25,Yara Costa,yara.costa@email.com
26,Zelia Ribeiro,zelia.ribeiro@email.com
27,Arthur Gomes,arthur.gomes@email.com
28,Beatriz Santos,beatriz.santos@email.com
29,Caio Mendes,caio.mendes@email.com
30,Daniela Ferreira,daniela.ferreira@email.com
31,Eduardo Pires,eduardo.pires@email.com
32,Fernanda Dias,fernanda.dias@email.com
33,Gustavo Lima,gustavo.lima@email.com
34,Helena Rocha,helena.rocha@email.com
35,Igor Pires,igor.pires@email.com
36,Jessica Santos,jessica.santos@email.com
37,Kauan Almeida,kauan.almeida@email.com
38,Larissa Mendes,larissa.mendes@email.com
39,Matheus Oliveira,matheus.oliveira@email.com
40,Natalia Pereira,natalia.pereira@email.com
41,Otavio Souza,otavio.souza@email.com
42,Paula Silva,paula.silva@email.com
43,Rafaela Costa,rafaela.costa@email.com
44,Ricardo Oliveira,ricardo.oliveira@email.com
45,Sabrina Gomes,sabrina.gomes@email.com
46,Tadeu Lima,tadeu.lima@email.com
47,Tatiana Rodrigues,tatiana.rodrigues@email.com
48,Ulisses Barbosa,ulisses.barbosa@email.com
49,Valentina Cruz,valentina.cruz@email.com
50,Walter Pires,walter.pires@email.com
51,Xenia Rocha,xenia.rocha@email.com
52,Yago Santos,yago.santos@email.com
53,Zeca Almeida,zeca.almeida@email.com
54,Amanda Dias,amanda.dias@email.com
55,Bernardo Ferreira,bernardo.ferreira@email.com
56,Carolina Gomes,carolina.gomes@email.com
57,Diego Lima,diego.lima@email.com
58,Elisa Oliveira,elisa.oliveira@email.com
59,Felipe Pires,felipe.pires@email.com
60,Giovanna Santos,giovanna.santos@email.com
61,Henrique Almeida,henrique.almeida@email.com
62,Iara Mendes,iara.mendes@email.com
63,Joaquim Oliveira,joaquim.oliveira@email.com
64,Karen Pereira,karen.pereira@email.com
65,Leonardo Souza,leonardo.souza@email.com
66,Livia Silva,livia.silva@email.com
67,Marcelo Costa,marcelo.costa@email.com
68,Monica Oliveira,monica.oliveira@email.com
69,Nelson Gomes,nelson.gomes@email.com
70,Patricia Lima,patricia.lima@email.com
71,Quintino Rodrigues,quintino.rodrigues@email.com
72,Renata Barbosa,renata.barbosa@email.com
73,Sergio Cruz,sergio.cruz@email.com
74,Teresa Santos,teresa.santos@email.com
75,Ubaldo Pires,ubaldo.pires@email.com
76,Vania Rocha,vania.rocha@email.com
77,Washington Almeida,washington.almeida@email.com
78,Ximenes Dias,ximenes.dias@email.com
79,Yasmin Ferreira,yasmin.ferreira@email.com
80,Zuleica Gomes,zuleica.gomes@email.com
81,Adao Lima,adao.lima@email.com
82,Bianca Oliveira,bianca.oliveira@email.com
83,Carlos Pereira,carlos.pereira@email.com
84,Debora Souza,debora.souza@email.com
85,Elias Silva,elias.silva@email.com
86,Fatima Costa,fatima.costa@email.com
87,Gilberto Oliveira,gilberto.oliveira@email.com
